Category_Code,Data_Type,Total_Akaike_Weight,category1,category2,category3,category4,num_transactions,mean_price
21010906,descriptions,0.158,Office Products,Office & School Supplies,Filing Products,Folders,538.0,12.40532398223877
21010906,images,0.166,Office Products,Office & School Supplies,Filing Products,Folders,538.0,12.40532398223877
21010906,logit,0.000,Office Products,Office & School Supplies,Filing Products,Folders,538.0,12.40532398223877
21010906,reviews,0.000,Office Products,Office & School Supplies,Filing Products,Folders,538.0,12.40532398223877
21010906,titles,0.672,Office Products,Office & School Supplies,Filing Products,Folders,538.0,12.40532398223877
21011403,combined,0.034,Office Products,Office & School Supplies,Paper,Copy & Printing Paper,876.0,35.35289764404297
21011403,descriptions,0.001,Office Products,Office & School Supplies,Paper,Copy & Printing Paper,876.0,35.35289764404297
21011403,images,0.678,Office Products,Office & School Supplies,Paper,Copy & Printing Paper,876.0,35.35289764404297
21011403,logit,0.000,Office Products,Office & School Supplies,Paper,Copy & Printing Paper,876.0,35.35289764404297
21011403,reviews,0.183,Office Products,Office & School Supplies,Paper,Copy & Printing Paper,876.0,35.35289764404297
21011403,titles,0.104,Office Products,Office & School Supplies,Paper,Copy & Printing Paper,876.0,35.35289764404297
21012004,combined,0.006,Office Products,Office & School Supplies,Writing & Correction Supplies,Markers & Highlighters,547.0,8.665539741516113
21012004,descriptions,0.635,Office Products,Office & School Supplies,Writing & Correction Supplies,Markers & Highlighters,547.0,8.665539741516113
21012004,images,0.267,Office Products,Office & School Supplies,Writing & Correction Supplies,Markers & Highlighters,547.0,8.665539741516113
21012004,logit,0.000,Office Products,Office & School Supplies,Writing & Correction Supplies,Markers & Highlighters,547.0,8.665539741516113
21012004,reviews,0.033,Office Products,Office & School Supplies,Writing & Correction Supplies,Markers & Highlighters,547.0,8.665539741516113
21012004,titles,0.060,Office Products,Office & School Supplies,Writing & Correction Supplies,Markers & Highlighters,547.0,8.665539741516113
21012008,combined,0.045,Office Products,Office & School Supplies,Writing & Correction Supplies,Pens & Refills,518.0,24.91851234436035
21012008,descriptions,0.091,Office Products,Office & School Supplies,Writing & Correction Supplies,Pens & Refills,518.0,24.91851234436035
21012008,images,0.208,Office Products,Office & School Supplies,Writing & Correction Supplies,Pens & Refills,518.0,24.91851234436035
21012008,logit,0.001,Office Products,Office & School Supplies,Writing & Correction Supplies,Pens & Refills,518.0,24.91851234436035
21012008,reviews,0.091,Office Products,Office & School Supplies,Writing & Correction Supplies,Pens & Refills,518.0,24.91851234436035
21012008,titles,0.565,Office Products,Office & School Supplies,Writing & Correction Supplies,Pens & Refills,518.0,24.91851234436035
21021101,combined,0.171,Office Products,Office Electronics,Printers & Accessories,Printer Parts & Accessories,741.0,59.9017448425293
21021101,descriptions,0.368,Office Products,Office Electronics,Printers & Accessories,Printer Parts & Accessories,741.0,59.9017448425293
21021101,images,0.212,Office Products,Office Electronics,Printers & Accessories,Printer Parts & Accessories,741.0,59.9017448425293
21021101,logit,0.000,Office Products,Office Electronics,Printers & Accessories,Printer Parts & Accessories,741.0,59.9017448425293
21021101,reviews,0.007,Office Products,Office Electronics,Printers & Accessories,Printer Parts & Accessories,741.0,59.9017448425293
21021101,titles,0.242,Office Products,Office Electronics,Printers & Accessories,Printer Parts & Accessories,741.0,59.9017448425293
23021004,combined,0.131,Pet Supplies,Cats,Food,Wet,414.0,13.86228084564209
23021004,descriptions,0.117,Pet Supplies,Cats,Food,Wet,414.0,13.86228084564209
23021004,images,0.288,Pet Supplies,Cats,Food,Wet,414.0,13.86228084564209
23021004,logit,0.001,Pet Supplies,Cats,Food,Wet,414.0,13.86228084564209
23021004,reviews,0.338,Pet Supplies,Cats,Food,Wet,414.0,13.86228084564209
23021004,titles,0.126,Pet Supplies,Cats,Food,Wet,414.0,13.86228084564209
23021309,combined,0.044,Pet Supplies,Cats,Litter & Housebreaking,Litter,347.0,21.821752548217773
23021309,descriptions,0.257,Pet Supplies,Cats,Litter & Housebreaking,Litter,347.0,21.821752548217773
23021309,images,0.058,Pet Supplies,Cats,Litter & Housebreaking,Litter,347.0,21.821752548217773
23021309,logit,0.000,Pet Supplies,Cats,Litter & Housebreaking,Litter,347.0,21.821752548217773
23021309,reviews,0.058,Pet Supplies,Cats,Litter & Housebreaking,Litter,347.0,21.821752548217773
23021309,titles,0.582,Pet Supplies,Cats,Litter & Housebreaking,Litter,347.0,21.821752548217773
23021802,combined,0.006,Pet Supplies,Cats,Treats,Snacks,468.0,11.89913272857666
